0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,0.997165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.533292,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472,0.54472
0.996404,0.996404,0.996404,0.995565,0.995565,0.995565,0.995565,0.995565,0.995565,0.995565,0.995565,0.996284,0.994725,0.994725,0.994725,0.993287,0.993287,0.993287,0.993287,0.993287,0.993287,0.994725,0.994725,0.994725,0.994725,0.993287,0.993287,0.993287,0.993287,0.993287,0.993287,0.993287,0.994725,0.994725,0.994725
0.932723,0.913988,0.924952,0.930062,0.937726,0.92623,0.929955,0.93911,0.934107,0.93911,0.917713,0.929849,0.925484,0.930594,0.931233,0.938578,0.931659,0.928252,0.930275,0.930275,0.91931,0.914413,0.928252,0.920694,0.936129,0.931659,0.928252,0.938684,0.930275,0.938897,0.930275,0.91931,0.927188,0.925697,0.914413
0.767578,0.793276,0.790256,0.753846,0.718006,0.780798,0.763077,0.797493,0.702051,0.797493,0.759031,0.78792,0.77698,0.756866,0.786667,0.753846,0.748547,0.780798,0.797493,0.797493,0.734359,0.78792,0.778974,0.777664,0.792821,0.709174,0.769744,0.781823,0.793903,0.739202,0.793903,0.731738,0.766439,0.769687,0.796125
0.79812,0.727407,0.797607,0.79812,0.752365,0.797607,0.79812,0.797607,0.68735,0.797607,0.760912,0.797607,0.794302,0.727407,0.797607,0.79812,0.68735,0.797607,0.797607,0.797607,0.760912,0.797607,0.79812,0.727407,0.797607,0.761197,0.797607,0.79812,0.797607,0.68735,0.797607,0.760912,0.79812,0.763134,0.797607
0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633
0.994844,0.992207,0.997116,0.994844,0.992207,0.997116,0.994844,0.997116,0.992207,0.997116,0.994938,0.997116,0.994844,0.992207,0.997116,0.994844,0.992207,0.997116,0.997116,0.997116,0.994938,0.997116,0.99517,0.991251,0.999547,0.991251,0.999547,0.997501,0.999547,0.991251,0.999547,0.995465,0.997501,0.991251,0.999547
0.965304,0.965304,0.965304,0.952383,0.952383,0.952383,0.952383,0.952383,0.952383,0.952383,0.952383,0.954003,0.965304,0.965304,0.965304,0.952383,0.952383,0.952383,0.952383,0.952383,0.952383,0.954003,0.958501,0.953764,0.953764,0.941927,0.941927,0.950392,0.941927,0.941927,0.941927,0.946386,0.946409,0.938362,0.938362
0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349,0.969349
